antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
frozenset({'count_1_day_0.0'}),frozenset({'hourEnc_0.0'}),0.22699905527599437,0.7325891221778781,0.16284188404958838,0.7173681134998505,0.9792229938757788,-0.003455154590259968,0.9461454655151958,-0.02671537071075762
frozenset({'count_1_day_1.0'}),frozenset({'hourEnc_0.0'}),0.30922937513255055,0.7325891221778781,0.22577669809319992,0.7301269421652493,0.9966390710179956,-0.0007613783867690682,0.9908765253101464,-0.0048581682208671505
frozenset({'count_1_day_3.0'}),frozenset({'hourEnc_0.0'}),0.17030790290550832,0.7325891221778781,0.12609867545838394,0.7404158779898022,1.0106836910008388,0.0013329583688823088,1.030151134635333,0.012740577310341408
frozenset({'count_7_days_3.0'}),frozenset({'hourEnc_0.0'}),0.15186766151888484,0.7325891221778781,0.1098270576667245,0.7231760637406499,0.9871509715988622,-0.0014295391726024537,0.9659962264664523,-0.01511501578795926
frozenset({'count_7_days_5.0'}),frozenset({'hourEnc_0.0'}),0.14260011182447413,0.7325891221778781,0.10468004704339946,0.7340811006673661,1.0020365829143798,0.00021275629944070285,1.0056106523200583,0.002370473453924984
frozenset({'time_diff_0.0'}),frozenset({'hourEnc_0.0'}),0.1851566506641988,0.7325891221778781,0.1380361308731949,0.7455099796741196,1.0176372500015147,0.002392382697713469,1.0507715684870316,0.021269816835318166
frozenset({'time_diff_1.0'}),frozenset({'hourEnc_0.0'}),0.1368770123585324,0.7325891221778781,0.10041992018046157,0.7336507310476943,1.0014491190732675,0.00014530985039375166,1.0039857772990783,0.0016764959183875306
frozenset({'gender_F'}),frozenset({'hourEnc_0.0'}),0.5474486667823472,0.7325891221778781,0.4038375074710317,0.7376719169755291,1.0069381248557727,0.002782569235502297,1.0193757173805023,0.01522549699174296
frozenset({'gender_M'}),frozenset({'hourEnc_0.0'}),0.45255133321765284,0.7325891221778781,0.3287516147068464,0.7264404954227249,0.9916069914649098,-0.002782569235502297,0.9775236222749618,-0.01522549699174296
"frozenset({'hourEnc_21.0', 'hour_21.0'})",frozenset({'amt_0.0'}),0.10340756164806139,0.9986658183430698,0.10321013361096651,0.99809077756067,0.9994241909837729,-5.94635651561537e-05,0.6988089126997798,-0.0006421767064573467
"frozenset({'amt_0.0', 'hour_21.0'})",frozenset({'hourEnc_21.0'}),0.10321013361096651,0.267410877822122,0.10321013361096651,1.0,3.739563656289204,0.07561062118191945,inf,0.8169016506929127
frozenset({'hour_21.0'}),"frozenset({'hourEnc_21.0', 'amt_0.0'})",0.10340756164806139,0.26710239651416123,0.10321013361096651,0.99809077756067,3.7367346402964725,0.07558972607708345,383.8722971132852,0.8168557292961114
"frozenset({'hourEnc_0.0', 'count_1_day_0.0'})",frozenset({'amt_0.0'}),0.16284188404958838,0.9986658183430698,0.1626521680451925,0.9988349680089792,1.0001693756437864,2.7544650283040095e-05,1.145188859373045,0.00020228790393284177
"frozenset({'count_1_day_0.0', 'amt_0.0'})",frozenset({'hourEnc_0.0'}),0.22673761736749765,0.7325891221778781,0.1626521680451925,0.717358548324008,0.9792099372038288,-0.0034533440267661974,0.9461134459805643,-0.026723260780742854
frozenset({'count_1_day_0.0'}),"frozenset({'hourEnc_0.0', 'amt_0.0'})",0.22699905527599437,0.7315634218289085,0.1626521680451925,0.716532356698285,0.979453503712575,-0.0034120375844435002,0.9469743179307949,-0.02642075548805719
"frozenset({'count_1_day_1.0', 'hourEnc_0.0'})",frozenset({'amt_0.0'}),0.22577669809319992,0.9986658183430698,0.2254728440048586,0.9986541831335672,0.9999883492462756,-2.626959183099631e-06,0.9913545373128093,-1.5048260768885152e-05
"frozenset({'count_1_day_1.0', 'amt_0.0'})",frozenset({'hourEnc_0.0'}),0.3088237222125822,0.7325891221778781,0.2254728440048586,0.730102086683781,0.9966051427480884,-0.0007680555585618809,0.9907852733519164,-0.004904270679413262
frozenset({'count_1_day_1.0'}),"frozenset({'hourEnc_0.0', 'amt_0.0'})",0.30922937513255055,0.7315634218289085,0.2254728440048586,0.7291443250118463,0.9966932507218383,-0.0007480557971252799,0.9910686869781554,-0.004779968098720889
